148.45.113.216	255.255.255.248
203.98.141.0	255.255.255.240
183.168.36.0	255.255.255.128
111.157.172.232	255.255.255.248
80.46.87.0	255.255.255.0
247.248.233.0	255.255.255.128
58.75.180.168	255.255.255.248
175.179.146.0	255.255.255.128
45.28.7.128	255.255.255.128
82.188.115.160	255.255.255.224
91.22.224.224	255.255.255.240
154.161.102.68	255.255.255.252
125.52.238.32	255.255.255.224
151.108.152.0	255.255.255.0
134.64.158.128	255.255.255.192
226.72.247.128	255.255.255.128
93.84.214.128	255.255.255.192
55.19.187.220	255.255.255.252
137.224.115.128	255.255.255.128
217.152.157.128	255.255.255.128
34.108.252.160	255.255.255.224
234.49.137.0	255.255.255.0
102.85.58.192	255.255.255.192
72.198.146.136	255.255.255.248
77.8.203.0	255.255.255.192
221.170.228.0	255.255.255.0
208.45.12.128	255.255.255.192
59.255.140.32	255.255.255.224
106.1.2.232	255.255.255.248
244.178.5.144	255.255.255.240
239.190.162.0	255.255.255.128
80.12.107.144	255.255.255.240
215.242.53.64	255.255.255.192
198.69.186.0	255.255.255.0
65.85.174.0	255.255.255.248
155.116.14.0	255.255.255.128
39.131.104.0	255.255.255.128
198.111.95.128	255.255.255.128
61.59.221.64	255.255.255.240
187.2.44.192	255.255.255.224
110.102.101.248	255.255.255.248
13.48.69.0	255.255.255.192
223.37.110.160	255.255.255.224
40.27.157.20	255.255.255.252
28.71.166.0	255.255.255.128
226.117.89.56	255.255.255.248
180.162.168.128	255.255.255.224
234.177.127.96	255.255.255.248
17.86.91.80	255.255.255.248
108.80.223.240	255.255.255.248
99.145.245.160	255.255.255.248
79.118.46.0	255.255.255.0
225.63.211.64	255.255.255.192
172.94.67.0	255.255.255.192
220.159.75.0	255.255.255.192
190.173.71.128	255.255.255.128
77.121.114.128	255.255.255.248
146.226.84.88	255.255.255.248
136.94.236.0	255.255.255.192
64.26.167.0	255.255.255.0
194.32.207.96	255.255.255.248
66.68.17.128	255.255.255.128
190.120.234.160	255.255.255.240
202.49.156.0	255.255.255.0
48.251.5.0	255.255.255.128
130.115.224.128	255.255.255.128
245.208.34.240	255.255.255.248
191.24.61.64	255.255.255.192
203.186.232.48	255.255.255.248
108.45.88.68	255.255.255.252
52.250.132.64	255.255.255.192
211.89.103.224	255.255.255.224
194.180.69.64	255.255.255.192
134.159.216.224	255.255.255.224
47.197.143.28	255.255.255.252
134.247.103.28	255.255.255.252
64.117.181.224	255.255.255.224
106.29.111.0	255.255.255.240
63.217.53.32	255.255.255.224
120.91.181.128	255.255.255.192
180.81.145.208	255.255.255.240
165.26.107.96	255.255.255.252
51.247.67.128	255.255.255.240
203.44.212.224	255.255.255.224
101.78.150.192	255.255.255.192
119.34.124.176	255.255.255.240
174.1.147.96	255.255.255.224
74.60.58.72	255.255.255.248
142.196.219.116	255.255.255.252
117.150.201.0	255.255.255.128
238.85.5.120	255.255.255.248
255.132.144.108	255.255.255.252
20.15.77.88	255.255.255.248
130.61.76.0	255.255.255.192
97.84.250.240	255.255.255.240
171.147.18.48	255.255.255.248
22.32.234.0	255.255.255.0
16.50.97.224	255.255.255.240
82.113.3.176	255.255.255.240
38.157.146.0	255.255.255.0
144.36.212.128	255.255.255.128
90.121.38.36	255.255.255.252
122.61.116.160	255.255.255.224
230.6.77.224	255.255.255.240
50.34.138.64	255.255.255.192
19.35.153.208	255.255.255.240
79.38.54.48	255.255.255.248
224.179.0.0	255.255.255.0
192.65.167.0	255.255.255.0
152.249.179.192	255.255.255.192
200.109.102.236	255.255.255.252
98.225.237.0	255.255.255.0
182.231.0.244	255.255.255.252
226.125.170.204	255.255.255.252
85.74.39.96	255.255.255.224
21.5.204.176	255.255.255.240
76.215.141.16	255.255.255.240
136.81.86.128	255.255.255.128
198.184.163.0	255.255.255.192
149.192.184.192	255.255.255.192
148.169.121.128	255.255.255.224
36.37.169.0	255.255.255.0
52.115.202.128	255.255.255.224
59.30.173.240	255.255.255.240
141.176.255.128	255.255.255.128
13.5.214.128	255.255.255.192
197.202.147.16	255.255.255.248
38.149.165.160	255.255.255.224
125.231.139.112	255.255.255.240
87.28.245.0	255.255.255.192
165.18.150.128	255.255.255.128
111.162.53.0	255.255.255.0
170.227.37.0	255.255.255.0
121.175.101.192	255.255.255.192
168.242.13.0	255.255.255.192
232.137.177.216	255.255.255.248
231.21.40.64	255.255.255.192
31.163.111.24	255.255.255.252
167.88.163.112	255.255.255.240
45.221.82.0	255.255.255.0
30.50.169.64	255.255.255.224
60.204.121.208	255.255.255.248
160.189.63.208	255.255.255.240
219.232.190.100	255.255.255.252
79.202.253.160	255.255.255.240
21.212.220.128	255.255.255.128
27.104.161.128	255.255.255.224
33.102.172.128	255.255.255.192
146.241.92.120	255.255.255.252
187.241.197.144	255.255.255.240
75.111.111.0	255.255.255.0
122.75.71.0	255.255.255.128
126.94.138.128	255.255.255.128
58.210.207.52	255.255.255.252
230.47.166.208	255.255.255.240
202.13.50.0	255.255.255.0
219.202.40.0	255.255.255.192
162.207.229.96	255.255.255.224
16.200.165.192	255.255.255.224
13.73.252.192	255.255.255.192
144.20.191.224	255.255.255.240
19.177.58.0	255.255.255.0
62.69.110.24	255.255.255.248
222.41.143.160	255.255.255.240
95.30.125.0	255.255.255.0
194.27.12.128	255.255.255.128
254.150.99.128	255.255.255.128
45.158.196.212	255.255.255.252
242.81.138.144	255.255.255.248
162.228.170.68	255.255.255.252
237.209.95.72	255.255.255.248
105.184.116.0	255.255.255.0
138.38.3.0	255.255.255.240
173.42.241.0	255.255.255.0
230.204.86.128	255.255.255.192
111.79.57.124	255.255.255.252
86.190.49.164	255.255.255.252
48.30.178.192	255.255.255.192
72.68.206.64	255.255.255.192
18.50.91.68	255.255.255.252
199.219.24.216	255.255.255.252
69.237.232.0	255.255.255.192
198.185.143.192	255.255.255.240
250.146.115.240	255.255.255.240
123.233.242.0	255.255.255.0
69.44.182.216	255.255.255.248
201.30.88.48	255.255.255.252
183.231.245.112	255.255.255.240
140.69.70.192	255.255.255.224
46.168.200.192	255.255.255.240
233.244.54.64	255.255.255.192
158.121.214.0	255.255.255.0
50.193.19.128	255.255.255.192
206.147.179.80	255.255.255.240
62.161.208.0	255.255.255.0
118.166.106.96	255.255.255.224
65.11.196.192	255.255.255.192
242.167.181.128	255.255.255.192
189.108.201.0	255.255.255.0
250.4.190.192	255.255.255.240
95.53.9.156	255.255.255.252
243.114.7.200	255.255.255.248
132.149.37.0	255.255.255.0
67.25.133.16	255.255.255.252
164.15.172.0	255.255.255.0
218.20.105.0	255.255.255.192
137.152.4.192	255.255.255.192
146.49.223.0	255.255.255.128
254.94.58.148	255.255.255.252
120.86.120.0	255.255.255.0
32.160.230.192	255.255.255.224
121.149.13.128	255.255.255.128
94.98.149.0	255.255.255.0
16.223.240.168	255.255.255.252
82.160.40.176	255.255.255.252
210.186.241.0	255.255.255.0
102.220.107.0	255.255.255.0
118.152.251.0	255.255.255.0
105.222.141.48	255.255.255.240
255.106.245.48	255.255.255.252
19.18.230.0	255.255.255.0
154.179.15.0	255.255.255.192
237.168.2.40	255.255.255.248
85.198.68.160	255.255.255.224
127.113.190.224	255.255.255.224
232.19.201.144	255.255.255.248
223.140.107.176	255.255.255.248
203.167.103.64	255.255.255.192
23.76.77.24	255.255.255.248
80.221.184.0	255.255.255.0
72.7.60.128	255.255.255.128
116.117.19.0	255.255.255.128
60.143.233.0	255.255.255.0
14.226.82.0	255.255.255.192
58.140.69.128	255.255.255.192
114.22.112.32	255.255.255.224
30.170.127.72	255.255.255.248
18.251.255.192	255.255.255.224
154.89.165.232	255.255.255.252
51.68.191.192	255.255.255.192
70.33.11.176	255.255.255.248
99.62.133.0	255.255.255.192
26.146.210.248	255.255.255.248
39.177.190.0	255.255.255.128
203.206.120.88	255.255.255.252
53.94.12.160	255.255.255.224
48.207.255.0	255.255.255.0
195.156.144.0	255.255.255.128
199.233.118.132	255.255.255.252
83.118.187.36	255.255.255.252
